d,c_d
2.36420882520932e10,5.20125941546050e10
3.89792137849956e10,8.57542703269904e10
6.42658588824899e10,1.41384889541478e11
1.05956488519374e11,2.33104274742623e11
1.74692716390586e11,3.84323976059289e11
2.88019597349544e11,6.33643114168996e11
4.74864036528679e11,1.04470088036309e12
7.82918437715355e11,1.72242056297378e12
1.29081428148462e12,2.83979141926616e12
2.12819296240719e12,4.68202451729583e12
3.50879700527506e12,7.71935341160513e12
5.78502825716590e12,1.27270621657650e13
9.53789913919071e12,2.09833781062196e13
1.57253371885762e13,3.45957418148676e13
2.59266979117373e13,5.70387354058220e13
4.27458983260979e13,9.40409763174153e13
7.04760718054225e13,1.55047357971930e14
1.16195398660990e14,2.55629877054177e14
1.91573825329855e14,4.21462415725681e14
3.15851840730723e14,6.94874049607590e14
5.20751648202532e14,1.14565362604557e15
8.58574319143664e14,1.88886350211606e15
1.41554974244904e15,3.11420943338789e15
2.33384697010982e15,5.13446333424160e15
3.84786314217911e15,8.46529891279403e15
6.34405380925372e15,1.39569183803582e16
1.04595764577828e16,2.30110682071221e16
1.72449261884608e16,3.79388376146137e16
2.84320766185690e16,6.25505685608518e16
4.68765694912104e16,1.03128452880663e17
7.72863972176113e16,1.70030073878745e17
1.27423727028455e17,2.80332199462601e17
2.10086209143701e17,4.62189660116141e17
3.46373601695975e17,7.62021923731145e17
5.71073524725168e17,1.25636175439537e18
9.41541067348080e17,2.07139034816578e18
1.55233878497448e18,3.41514532694386e18
2.55937397412022e18,5.63062274306448e18
4.21969431080833e18,9.28332748377832e18
6.95709976608200e18,1.53056194853804e19
1.14703183667223e19,2.52347004067890e19
1.89113578729174e19,4.16049873204183e19
3.11795579829012e19,6.85950275623827e19
5.14064004574372e19,1.13094081006362e20
8.47548258843056e19,1.86460616945472e20
1.39737084229940e20,3.07421585305869e20
2.30387503075518e20,5.06852506766140e20
3.79844776824098e20,8.35658509013015e20
6.26258163114233e20,1.37776795885131e21
1.03252515447603e21,2.27155533984726e21
1.70234618471756e21,3.74516160637864e21
2.80669436483905e21,6.17472760264592e21
4.62745669966433e21,1.01804047392615e22
7.62938628998040e21,1.67846498379569e22
1.25787314586786e22,2.76732092090930e22
2.07388221143483e22,4.56254086515662e22
3.41925371491922e22,7.52235817282229e22
5.63739632970776e22,1.24022719253571e23
9.29449524015601e22,2.04478895283432e23
1.53240320028663e23,3.37128704063059e23
2.52650575160152e23,5.55831265352334e23
4.16550377321164e23,9.16410830106560e23
6.86775467407567e23,1.51090602829665e24
1.13230132130988e24,2.49106290688173e24
1.86684927328546e24,4.10706840122800e24
3.07791410605681e24,6.77141103332498e24
5.07462245604383e24,1.11641694032964e25
8.36663798405198e24,1.84066035649144e25
1.37942540085541e25,3.03473588188191e25
2.27428799973437e25,5.00343359941562e25
3.74966700086011e25,8.24926740189224e25
6.18215574236042e25,1.36007426331929e26
1.01926516712106e26,2.24238336766632e26
1.68048416151621e26,3.69706515533565e26
2.77064998216644e26,6.09542996076616e26
4.56802955926274e26,1.00496650303780e27
7.53140749954341e26,1.65690964989955e27
1.24171917428077e27,2.73178218341769e27
2.04724881487290e27,4.50394739272038e27
3.37534266749658e27,7.42575386849248e27
5.56499925180332e27,1.22429983539673e28
9.17513263787844e27,2.01852918033326e28
1.51272363415652e28,3.32799199514434e28
2.49405963232465e28,5.48693119111422e28
